------------------------------------------------------------
 Transmission Coefficient on homogeneous energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         1.16908e-11,               0.0874
         1.16285e-11,               0.0875
         1.15676e-11,               0.0876
         1.15083e-11,               0.0877
         1.14503e-11,               0.0878
         1.13938e-11,               0.0879
         1.13387e-11,                0.088
          1.1285e-11,               0.0881
         1.12325e-11,               0.0882
         1.11814e-11,               0.0883
         1.11315e-11,               0.0884
         1.10828e-11,               0.0885
         1.10354e-11,               0.0886
         1.09891e-11,               0.0887
         1.09439e-11,               0.0888
         1.08999e-11,               0.0889
          1.0857e-11,                0.089
         1.08152e-11,               0.0891
         1.07744e-11,               0.0892
         1.07347e-11,               0.0893
          1.0696e-11,               0.0894
         1.06583e-11,               0.0895
         1.06215e-11,               0.0896
         1.05857e-11,               0.0897
         1.05508e-11,               0.0898
         1.05169e-11,               0.0899
         1.04838e-11,                 0.09
         1.04517e-11,               0.0901
         1.04204e-11,               0.0902
         1.03899e-11,               0.0903
         1.03603e-11,               0.0904
         1.03315e-11,               0.0905
         1.03035e-11,               0.0906
         1.02762e-11,               0.0907
         1.02498e-11,               0.0908
         1.02241e-11,               0.0909
         1.01992e-11,                0.091
          1.0175e-11,               0.0911
         1.01515e-11,               0.0912
         1.01287e-11,               0.0913
         1.01067e-11,               0.0914
         1.00853e-11,               0.0915
         1.00646e-11,               0.0916
